,load,ohms
70,"[' 2024-04-29 13:56:56.249793', ' 0.005']","[' 2024-04-29 13:56:56.249793', ' 352115.727']"
71,"[' 2024-04-29 13:56:56.449241', ' 0.005']","[' 2024-04-29 13:56:56.449241', ' 351284.262']"
72,"[' 2024-04-29 13:56:56.650259', ' 0.005']","[' 2024-04-29 13:56:56.650259', ' 352405.521']"
73,"[' 2024-04-29 13:56:56.849212', ' 0.005']","[' 2024-04-29 13:56:56.849212', ' 352391.601']"
74,"[' 2024-04-29 13:56:57.049379', ' 0.005']","[' 2024-04-29 13:56:57.049379', ' 352632.705']"
75,"[' 2024-04-29 13:56:57.250187', ' 0.005']","[' 2024-04-29 13:56:57.250187', ' 349077.246']"
76,"[' 2024-04-29 13:56:57.450200', ' 0.005']","[' 2024-04-29 13:56:57.450200', ' 349204.698']"
77,"[' 2024-04-29 13:56:57.649651', ' 0.005']","[' 2024-04-29 13:56:57.649651', ' 349409.368']"
78,"[' 2024-04-29 13:56:57.848978', ' 0.005']","[' 2024-04-29 13:56:57.848978', ' 349106.098']"
79,"[' 2024-04-29 13:56:58.048339', ' 0.005']","[' 2024-04-29 13:56:58.048339', ' 349180.219']"
80,"[' 2024-04-29 13:56:58.250129', ' 0.005']","[' 2024-04-29 13:56:58.250129', ' 349103.956']"
81,"[' 2024-04-29 13:56:58.441857', ' 0.005']","[' 2024-04-29 13:56:58.441857', ' 348823.798']"
82,"[' 2024-04-29 13:56:58.649151', ' 0.005']","[' 2024-04-29 13:56:58.649151', ' 348948.011']"
83,"[' 2024-04-29 13:56:58.849251', ' 0.005']","[' 2024-04-29 13:56:58.849251', ' 349864.742']"
84,"[' 2024-04-29 13:56:59.048303', ' 0.005']","[' 2024-04-29 13:56:59.048303', ' 349999.957']"
85,"[' 2024-04-29 13:56:59.249539', ' 0.005']","[' 2024-04-29 13:56:59.249539', ' 349741.819']"
86,"[' 2024-04-29 13:56:59.449294', ' 0.005']","[' 2024-04-29 13:56:59.449294', ' 349910.294']"
87,"[' 2024-04-29 13:56:59.649051', ' 0.005']","[' 2024-04-29 13:56:59.649051', ' 350257.984']"
88,"[' 2024-04-29 13:56:59.848528', ' 0.005']","[' 2024-04-29 13:56:59.848528', ' 349833.866']"
89,"[' 2024-04-29 13:57:00.049567', ' 0.005']","[' 2024-04-29 13:57:00.049567', ' 349883.822']"
90,"[' 2024-04-29 13:57:00.248968', ' 0.005']","[' 2024-04-29 13:57:00.248968', ' 349121.973']"
91,"[' 2024-04-29 13:57:00.448802', ' 0.005']","[' 2024-04-29 13:57:00.448802', ' 349679.787']"
92,"[' 2024-04-29 13:57:00.648964', ' 0.005']","[' 2024-04-29 13:57:00.648964', ' 350780.848']"
93,"[' 2024-04-29 13:57:00.849642', ' 0.005']","[' 2024-04-29 13:57:00.849642', ' 350799.361']"
94,"[' 2024-04-29 13:57:01.048359', ' 0.005']","[' 2024-04-29 13:57:01.048359', ' 351394.337']"
95,"[' 2024-04-29 13:57:01.249112', ' 0.005']","[' 2024-04-29 13:57:01.249112', ' 350504.421']"
96,"[' 2024-04-29 13:57:01.448412', ' 0.005']","[' 2024-04-29 13:57:01.448412', ' 277500.732']"
97,"[' 2024-04-29 13:57:01.650556', ' 0.157']","[' 2024-04-29 13:57:01.650556', ' 254454.41']"
98,"[' 2024-04-29 13:57:01.849089', ' 0.233']","[' 2024-04-29 13:57:01.849089', ' 241513.527']"
99,"[' 2024-04-29 13:57:02.049101', ' 0.236']","[' 2024-04-29 13:57:02.049101', ' 233623.317']"
100,"[' 2024-04-29 13:57:02.248843', ' 0.243']","[' 2024-04-29 13:57:02.248843', ' 229986.357']"
101,"[' 2024-04-29 13:57:02.449319', ' 0.247']","[' 2024-04-29 13:57:02.449319', ' 220970.863']"
102,"[' 2024-04-29 13:57:02.650137', ' 0.255']","[' 2024-04-29 13:57:02.650137', ' 220856.188']"
